,expression,reading,meaning
233,警官,けいかん,police officer
234,今朝,けさ,this morning
235,消す,けす,"to erase, to delete, to turn off power"
236,結構,けっこう,"splendid; enough, tolerably"
237,結婚,けっこん (する),marriage (get married)
238,月曜日,げつようび,Monday
239,玄関,げんかん,entrance (to a house or a building)
240,元気,げんき,"health(y), energetic"
241,～個,～こ,"counter for small items (e.g., fruits, cups)"
242,五,ご,five
243,～語,～ご,"word, language"
244,公園,こうえん,a park
245,交差点,こうさてん,intersection
246,紅茶,こうちゃ,black tea
247,交番,こうばん,police box
248,声,こえ,voice
249,コート,コート,"coat; court (e.g., tennis)"
250,コーヒー,コーヒー,coffee
251,ここ,ここ,"here, this place"
252,午後,ごご,"afternoon, P.M."
253,九日,ここのか,nine days; ninth day of the month
254,九つ,ここのつ,nine things
255,午前,ごぜん,"morning, A.M."
256,答える,こたえる,"to answer, to reply"
257,こちら,こちら,this person (polite); this way (polite)
258,こっち,こっち,this person; this direction; this side
259,コップ,コップ,a tumbler; a glass
260,今年,ことし,this year
261,言葉,ことば,language; word(s); expression(s)
262,子供,こども,child(ren)
263,この,この,this
264,御飯,ごはん,rice (cooked); meal
265,コピーする,コピーする,to copy
266,困る,こまる,"to be bothered, to have difficulty"
267,これ,これ,this one
268,～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)"
269,今月,こんげつ,this month
270,今週,こんしゅう,this week
271,こんな,こんな,"such, like this"
272,今晩,こんばん,"tonight, this evening"
273,さあ,さあ,"come now, well"
274,～歳,～さい,~ years old
275,財布,さいふ,wallet
276,魚,さかな,fish
277,先,さき,"future; recent, previous"
278,咲く,さく,to bloom
279,作文,さくぶん,essay; composition
280,差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)"
281,～冊,～さつ,counter for books
282,雑誌,ざっし,"magazine, journal"
283,砂糖,さとう,sugar
284,寒い,さむい,cold (in reference to weather)
285,さ来年,さらいねん,year after next
286,～さん,～さん,"Mr. ~, Ms. ~"
287,三,さん,three
288,散歩,さんぽ (する),"walk, stroll"
289,四,し,four
290,～時,～じ,~ o'clock (time)
291,塩,しお,salt
292,しかし,しかし,however; but
293,時間,じかん,time
294,～時間,～じかん,~ hours
295,仕事,しごと,"work, job, occupation, employment"
296,辞書,じしょ,dictionary
297,静か,しずか,"quiet, calm"
298,下,した,"under, below, beneath"
299,七,しち,seven
300,質問,しつもん,"question, inquiry"
301,自転車,じてんしゃ,bicycle
302,自動車,じどうしゃ,automobile
303,死ぬ,しぬ,to die
304,字引,じびき,dictionary
305,自分,じぶん,"myself, oneself"
306,閉まる,しまる,"to close, to be closed"
307,閉める,しめる,"to close, to shut"
308,締める,しめる,"to tie, to fasten, to tighten"
309,じゃ; じゃあ,じゃ; じゃあ,"well, well then"
310,写真,しゃしん,a picture; a photograph
311,シャツ,シャツ,shirt
312,シャワー,シャワー,shower
313,十,じゅう,ten
314,～中,～じゅう,"during, while"
315,～週間,～しゅうかん,~ weeks
316,授業,じゅぎょう,a class (of school)
317,宿題,しゅくだい,homework
318,上手,じょうず,"be good at, skillful"
319,丈夫,じょうぶ,"strong, solid, durable"
320,醤油,しょうゆ,soy sauce
321,食堂,しょくどう,"cafeteria, dining hall"
322,知る,しる,"to know, to understand"
323,白,しろ,white
324,白い,しろい,white
325,～人,～じん,counter for people
326,新聞,しんぶん,newspaper
327,水曜日,すいようび,Wednesday
328,吸う,すう,"to breathe in, to suck"
329,スカート,スカート,skirt
330,好き,すき,"liking, fondness, love"
